14,11
2,13
2,18
2,17
4,16
3,16
10,1
3,22
8,1
11,11
10,12
10,12
12,16
10,13
10,13
12,14
11,14
9,14
12,13
9,12
13,13
13,15
10,15
9,18
13,20
13,19
13,21
11,18
11,18
4,18
5,8
6,8
2,8
11,8
1,16
2,6
14,13
4,15
4,11
11,20
2,4
9,9
10,1
7,1
11,1
14,20
1,15
14,19
7,17
1,17
1,19
15,14
1,4
1,4
2,4
7,5
8,5
9,7
9,6
9,7
9,21
1,5
1,7
6,20
5,23
6,20
13,9
5,4
5,6
12,16
6,24
12,3
14,1
8,0
7,0
1,14
1,10
0,5
15,22
9,4
10,2
15,23
6,3
4,4
15,23
0,3
0,2
15,14
0,0
0,5
15,21
0,21
3,3
